[-2.37, 0.93, 1.99]	[-1.65, -0.74, -0.09]	[1.06, 1.63, -2.35]	[-0.99, 1.18, -0.5]
[-0.65, -1.38, -1.01]	[1.94, -0.97, 1.81]	[-2.43, -0.7, 0.07]	[0.21, -2.36, 2.45]
[-0.53, 0.33, -1.14]	[-0.42, 2.24, 2.26]	[-0.96, 1.68, -1.01]	[-1.77, 0.26, -1.12]
[-1.12, 1.97, -0.67]	[2.32, -2.01, 0.18]	[0.27, -1.99, -2.38]	[-0.55, 0.58, 1.96]
[-2.5, -2.36, 2.4]	[-2.4, 0.82, -0.63]	[0.34, 0.41, 0.52]	[2.01, 0.34, 1.81]
[2.48, 1.65, 1.43]	[1.14, -0.14, -1.37]	[0.41, -0.74, 2.32]	[-2.01, 1.04, 1.22]
[1.46, -1.58, -0.54]	[-0.95, 0.11, 0.99]	[-0.71, -1.58, 2.06]	[1.33, 0.92, -0.9]
[-0.53, 1.08, -1.14]	[-1.25, 2.14, -0.37]	[2.41, -0.51, -2.27]	[-0.89, 1.49, -2.4]
[2.25, -2.25, -1.76]	[-2.08, 2.48, -0.35]	[-0.29, 1.57, -2.1]	[-2.24, 1.48, 1.71]
[0.86, 0.02, -0.35]	[1.8, 1.89, 2.48]	[-2.39, 1.94, 1.84]	[-1.68, -0.92, -0.31]
