[-0.84, 0.34, -0.12]	[0.97, 1.74, -1.97]	[-1.0, 1.43, -1.35]	[2.0, -1.25, 0.96]
[-1.81, -0.84, 1.79]	[-1.05, 0.26, -0.36]	[-2.41, -1.08, 0.58]	[2.28, 0.28, 1.41]
[-1.03, -2.3, 2.43]	[1.3, 0.38, -2.17]	[-0.15, 1.74, 0.12]	[-2.43, 1.5, 1.44]
[-2.14, -1.03, 1.97]	[-1.25, 0.28, 2.16]	[-1.14, 2.16, 0.76]	[-2.49, -1.52, 1.33]
[2.16, -2.18, -1.55]	[0.27, -2.3, 1.89]	[-1.15, 2.49, 2.13]	[0.47, 2.28, -0.03]
[1.84, 1.65, 1.63]	[-1.34, -2.05, -2.28]	[2.2, 0.22, 0.37]	[-1.26, -1.8, 1.33]
[-0.3, 0.8, -2.16]	[-0.63, 1.54, 0.02]	[0.41, -1.89, 2.31]	[1.96, -2.34, -2.44]
[-0.48, 1.15, 1.87]	[-1.14, -2.03, 1.64]	[-0.79, 1.07, 1.15]	[0.77, -2.23, -0.49]
[0.52, -2.15, 0.97]	[-0.45, -2.07, -0.72]	[2.11, 0.23, 1.27]	[-0.35, 1.5, 1.81]
[0.27, -1.86, 0.89]	[-2.27, -1.32, 1.22]	[0.59, -1.69, 1.14]	[-1.61, -0.19, -0.54]
