[-1.6, -0.18, -1.89]	[-1.77, 2.06, -1.72]	[1.69, -1.26, -0.9]	[0.43, -0.97, -0.33]
[0.67, 2.48, -1.28]	[2.31, -1.67, -2.03]	[-0.54, 0.69, -1.25]	[0.02, 1.31, 0.56]
[-1.54, -0.11, -0.15]	[-1.5, -1.24, -0.95]	[1.51, -0.01, 2.01]	[-2.25, -0.93, -1.81]
[2.46, -1.43, -0.5]	[2.21, -0.43, -1.9]	[-1.54, -1.75, -1.02]	[-1.21, -1.82, 0.69]
[-1.95, -1.07, -1.94]	[2.11, 0.8, 1.52]	[-0.14, -1.42, -1.86]	[2.08, -0.36, 0.02]
[-2.4, 1.32, -0.43]	[2.22, -0.23, -1.79]	[-2.02, -2.28, 0.54]	[0.84, 1.62, 2.06]
[0.44, 0.99, -0.14]	[1.34, 1.05, -1.27]	[-0.25, 0.09, 2.01]	[-1.26, 0.08, -2.01]
[-0.53, -1.79, 0.36]	[-0.58, 2.08, 0.05]	[-2.46, 2.45, 2.0]	[0.68, -0.08, -1.32]
[-0.34, 1.89, -2.15]	[-0.75, 1.29, -2.0]	[-1.07, -2.45, 1.98]	[0.38, -1.57, -1.5]
[-1.6, -1.27, -0.27]	[1.6, -1.47, -1.28]	[-2.36, -0.99, -2.43]	[-1.86, 0.93, -0.78]
