[2.01, 0.4, -2.01]	[1.57, 2.13, 0.8]	[-0.73, -0.88, 0.52]	[1.28, -0.87, -2.01]
[1.97, -0.9, -0.46]	[-0.91, -0.23, 0.64]	[1.21, -2.39, 2.46]	[0.45, 0.52, 2.24]
[0.84, 1.1, -0.15]	[-2.15, 1.8, -2.49]	[2.14, 2.29, -1.33]	[-1.19, -0.06, -1.55]
[1.12, -0.84, -1.9]	[1.19, -2.23, -1.16]	[1.3, -0.09, -2.35]	[2.16, -2.39, -1.77]
[0.34, 2.28, -0.52]	[-1.99, -1.33, 2.04]	[-1.19, -2.48, 0.95]	[-2.23, -0.08, -1.91]
[1.68, 2.21, 0.13]	[-1.96, 2.25, 2.29]	[0.13, -1.23, 2.29]	[1.43, -0.08, -1.77]
[1.55, 0.59, 1.23]	[2.0, -1.16, 2.05]	[1.16, 0.03, 0.85]	[2.28, -1.96, -1.17]
[-1.29, -0.82, 0.73]	[-2.06, -1.23, 1.64]	[1.64, -0.9, 1.2]	[-2.23, -0.21, 2.44]
[-2.08, -2.47, 0.84]	[-0.58, -0.61, -0.61]	[-1.39, 1.19, -1.49]	[0.07, -0.15, -0.39]
[1.07, 1.46, 1.92]	[0.84, -0.58, 0.04]	[-1.87, 2.14, -1.27]	[-0.65, 1.62, 0.35]
