K_max	Best Sigma	Accuracy
10	0.9605593230895264	0.9650238473767886
20	0.9605593230895264	0.9650238473767886
30	0.9605593230895264	0.9650238473767886
40	0.9605593230895264	0.9650238473767886
50	0.9605593230895264	0.9650238473767886
60	0.9605593230895264	0.9650238473767886
70	0.8245125757281451	0.9666136724960255
80	0.8245125757281451	0.9666136724960255
90	0.8245125757281451	0.9666136724960255
100	0.8245125757281451	0.9666136724960255
---------
10	0.9605593230895264	0.9714285714285714
20	0.9605593230895264	0.9714285714285714
30	0.9605593230895264	0.9714285714285714
40	0.9605593230895264	0.9714285714285714
50	0.9605593230895264	0.9714285714285714
60	0.9605593230895264	0.9714285714285714
70	0.8245125757281451	0.9714285714285714
80	0.8245125757281451	0.9714285714285714
90	0.8245125757281451	0.9714285714285714
100	0.8245125757281451	0.9714285714285714
