K_max	Best Sigma	Accuracy
10	0.7051960742878983	0.958664546899841
20	0.8852387624928838	0.9650238473767886
30	0.8852387624928838	0.9650238473767886
40	0.8852387624928838	0.9650238473767886
50	0.8852387624928838	0.9650238473767886
60	0.7815370212161736	0.9666136724960255
70	0.7815370212161736	0.9666136724960255
80	0.7815370212161736	0.9666136724960255
90	0.7815370212161736	0.9666136724960255
100	0.7815370212161736	0.9666136724960255
---------
10	0.7051960742878983	0.9714285714285714
20	0.8852387624928838	0.9714285714285714
30	0.8852387624928838	0.9714285714285714
40	0.8852387624928838	0.9714285714285714
50	0.8852387624928838	0.9714285714285714
60	0.7815370212161736	0.9714285714285714
70	0.7815370212161736	0.9714285714285714
80	0.7815370212161736	0.9714285714285714
90	0.7815370212161736	0.9714285714285714
100	0.7815370212161736	0.9714285714285714
